t_s,req_s,ok,not_found,timeout,overloaded,backend_unavailable,other,queue_len,avg_queue_wait_ms,avg_qwait_s0_ms,avg_qwait_s1_ms,avg_qwait_s2_ms,active_workers,waiting_s0,waiting_s1,waiting_s2,open_clients,lat_le_1ms,lat_le_2ms,lat_le_5ms,lat_le_10ms,lat_le_20ms,lat_le_50ms,lat_le_100ms,lat_le_200ms,lat_le_500ms,lat_le_1000ms,lat_le_2000ms,lat_le_5000ms,lat_gt_5000ms
45.0098,6972,1770,5202,0,0,0,0,1,0.0474112,0.0472386,0.0472952,0.0477019,3,1,1,2,64,6964,6972,6972,6972,6972,6972,6972,6972,6972,6972,6972,6972,0
46.0099,7047,1779,5268,0,0,0,0,0,0.0474208,0.0474346,0.0473748,0.0474557,2,1,0,1,64,7047,7047,7047,7047,7047,7047,7047,7047,7047,7047,7047,7047,0
47.0101,6982,1834,5148,0,0,0,0,1,0.0476832,0.0475904,0.0477077,0.0477525,1,0,1,0,64,6980,6982,6982,6982,6982,6982,6982,6982,6982,6982,6982,6982,0
48.0103,6992,1788,5204,0,0,0,0,0,0.0485649,0.0485834,0.0481164,0.0489873,1,1,0,0,64,6979,6991,6992,6992,6992,6992,6992,6992,6992,6992,6992,6992,0
49.0104,7061,1821,5240,0,0,0,0,0,0.048304,0.0489018,0.0486431,0.0473759,3,2,0,1,64,7055,7061,7061,7061,7061,7061,7061,7061,7061,7061,7061,7061,0
50.0106,7009,1847,5162,0,0,0,0,0,0.0475265,0.0471383,0.0481827,0.0472777,2,2,0,0,64,7009,7009,7009,7009,7009,7009,7009,7009,7009,7009,7009,7009,0
51.0108,6997,1946,5051,0,0,0,0,1,0.0470386,0.0470945,0.0471567,0.046861,3,0,1,2,64,6994,6997,6997,6997,6997,6997,6997,6997,6997,6997,6997,6997,0
52.011,7076,2005,5071,0,0,0,0,0,0.0510611,0.0528931,0.0493169,0.0510037,1,0,0,1,64,7051,7069,7076,7076,7076,7076,7076,7076,7076,7076,7076,7076,0
53.0112,6977,1938,5039,0,0,0,0,1,0.0474462,0.0471962,0.0468416,0.0482672,2,1,1,0,64,6974,6977,6977,6977,6977,6977,6977,6977,6977,6977,6977,6977,0
54.0113,7028,2042,4986,0,0,0,0,1,0.0483662,0.0485064,0.0485598,0.0480277,1,0,0,1,64,7023,7028,7028,7028,7028,7028,7028,7028,7028,7028,7028,7028,0
55.0115,7036,1987,5049,0,0,0,0,1,0.047647,0.048215,0.0471057,0.0476226,3,2,0,1,64,7036,7036,7036,7036,7036,7036,7036,7036,7036,7036,7036,7036,0
56.0118,6982,1983,4999,0,0,0,0,0,0.0483798,0.0484715,0.0484865,0.0481836,1,0,1,0,64,6979,6982,6982,6982,6982,6982,6982,6982,6982,6982,6982,6982,0
57.012,6924,2045,4879,0,0,0,0,1,0.0477463,0.0473898,0.0475729,0.0482625,3,1,0,2,64,6915,6924,6924,6924,6924,6924,6924,6924,6924,6924,6924,6924,0
58.0122,7069,2135,4934,0,0,0,0,0,0.0479847,0.0475925,0.0473868,0.0489607,1,1,0,0,64,7067,7069,7069,7069,7069,7069,7069,7069,7069,7069,7069,7069,0
59.0124,7050,2148,4902,0,0,0,0,1,0.048028,0.0470273,0.049049,0.0480143,2,0,1,1,64,7047,7050,7050,7050,7050,7050,7050,7050,7050,7050,7050,7050,0
60.0127,7034,2131,4903,0,0,0,0,0,0.0476605,0.047516,0.0476784,0.047784,1,1,0,0,64,7031,7034,7034,7034,7034,7034,7034,7034,7034,7034,7034,7034,0
61.013,6999,2092,4907,0,0,0,0,0,0.0480996,0.04745,0.0480828,0.0487542,2,1,1,0,64,6998,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,0
62.0133,6957,2154,4803,0,0,0,0,0,0.0478359,0.0472381,0.0480269,0.0482614,2,1,1,0,64,6951,6957,6957,6957,6957,6957,6957,6957,6957,6957,6957,6957,0
63.0136,6938,2222,4716,0,0,0,0,0,0.0481743,0.0484785,0.0477565,0.0482931,1,1,0,0,64,6934,6938,6938,6938,6938,6938,6938,6938,6938,6938,6938,6938,0
64.0137,6440,2043,4397,0,0,0,0,0,0.0584399,0.0572383,0.0577637,0.0603323,3,2,0,1,64,6380,6409,6436,6440,6440,6440,6440,6440,6440,6440,6440,6440,0
65.0139,7003,2221,4782,0,0,0,0,0,0.0470069,0.0469643,0.0470692,0.0469886,0,0,0,0,64,7001,7003,7003,7003,7003,7003,7003,7003,7003,7003,7003,7003,0
66.0141,6958,2238,4720,0,0,0,0,0,0.0468792,0.0477889,0.0463765,0.0464908,2,1,0,0,64,6955,6958,6958,6958,6958,6958,6958,6958,6958,6958,6958,6958,0
67.0142,6994,2314,4680,0,0,0,0,0,0.047022,0.0471869,0.0467367,0.0471488,2,0,0,2,64,6993,6994,6994,6994,6994,6994,6994,6994,6994,6994,6994,6994,0
68.0144,6946,2338,4608,0,0,0,0,0,0.0481707,0.0484913,0.0483084,0.0477274,1,0,0,1,64,6944,6946,6946,6946,6946,6946,6946,6946,6946,6946,6946,6946,0
69.0146,6961,2409,4552,0,0,0,0,0,0.0475718,0.0473407,0.0474873,0.04788,2,1,1,0,64,6960,6961,6961,6961,6961,6961,6961,6961,6961,6961,6961,6961,0
70.0148,6991,2392,4599,0,0,0,0,0,0.0477561,0.0480418,0.0474193,0.0478101,3,0,1,1,64,6988,6991,6991,6991,6991,6991,6991,6991,6991,6991,6991,6991,0
