t_s,req_s,ok,not_found,timeout,overloaded,backend_unavailable,other,queue_len,avg_queue_wait_ms,avg_qwait_s0_ms,avg_qwait_s1_ms,avg_qwait_s2_ms,active_workers,waiting_s0,waiting_s1,waiting_s2,open_clients,lat_le_1ms,lat_le_2ms,lat_le_5ms,lat_le_10ms,lat_le_20ms,lat_le_50ms,lat_le_100ms,lat_le_200ms,lat_le_500ms,lat_le_1000ms,lat_le_2000ms,lat_le_5000ms,lat_gt_5000ms
28.0068,6994,876,6118,0,0,0,0,0,0.0477359,0.0476348,0.0481598,0.0474116,4,1,1,2,64,6993,6994,6994,6994,6994,6994,6994,6994,6994,6994,6994,6994,0
29.007,6960,903,6057,0,0,0,0,0,0.0473157,0.0467908,0.0471803,0.0479393,1,0,1,0,64,6957,6959,6960,6960,6960,6960,6960,6960,6960,6960,6960,6960,0
30.0072,7008,897,6111,0,0,0,0,0,0.0476291,0.0478162,0.0476843,0.0473841,3,1,1,0,64,7004,7007,7008,7008,7008,7008,7008,7008,7008,7008,7008,7008,0
31.0074,6895,946,5949,0,0,0,0,0,0.0700744,0.0724855,0.0735898,0.0641283,3,1,0,1,64,6816,6843,6880,6893,6895,6895,6895,6895,6895,6895,6895,6895,0
32.0076,7034,1007,6027,0,0,0,0,0,0.0476955,0.0474724,0.047746,0.0478562,1,0,0,1,64,7031,7034,7034,7034,7034,7034,7034,7034,7034,7034,7034,7034,0
33.0078,7031,978,6053,0,0,0,0,0,0.0485666,0.0475484,0.0479526,0.0502141,1,1,0,0,64,7021,7031,7031,7031,7031,7031,7031,7031,7031,7031,7031,7031,0
34.008,7009,987,6022,0,0,0,0,0,0.0483447,0.04856,0.0494908,0.0469969,3,0,2,1,64,6998,7009,7009,7009,7009,7009,7009,7009,7009,7009,7009,7009,0
35.0083,7002,1120,5882,0,0,0,0,0,0.0477782,0.048531,0.0476683,0.047163,1,0,0,1,64,7002,7002,7002,7002,7002,7002,7002,7002,7002,7002,7002,7002,0
36.0086,7050,1142,5908,0,0,0,0,0,0.0474167,0.047631,0.0469558,0.0476605,1,0,0,1,64,7048,7050,7050,7050,7050,7050,7050,7050,7050,7050,7050,7050,0
37.0088,7018,1212,5806,0,0,0,0,1,0.0473446,0.0472447,0.0475367,0.0472501,1,0,0,0,64,7015,7018,7018,7018,7018,7018,7018,7018,7018,7018,7018,7018,0
38.009,6975,1120,5855,0,0,0,0,0,0.0483384,0.048582,0.0482295,0.0482141,1,1,0,0,64,6972,6975,6975,6975,6975,6975,6975,6975,6975,6975,6975,6975,0
39.0092,6876,1267,5609,0,0,0,0,0,0.0481316,0.0483305,0.0478011,0.0482716,5,2,0,2,64,6870,6876,6876,6876,6876,6876,6876,6876,6876,6876,6876,6876,0
40.0096,6872,1212,5660,0,0,0,0,0,0.0475997,0.0481272,0.0478649,0.0468404,4,4,0,0,64,6870,6872,6872,6872,6872,6872,6872,6872,6872,6872,6872,6872,0
41.0097,6918,1267,5651,0,0,0,0,0,0.0483943,0.0483505,0.0485587,0.0482779,4,1,2,1,64,6915,6917,6918,6918,6918,6918,6918,6918,6918,6918,6918,6918,0
42.0099,6919,1373,5546,0,0,0,0,1,0.0478312,0.0478869,0.0478848,0.0477227,3,1,1,1,64,6912,6918,6919,6919,6919,6919,6919,6919,6919,6919,6919,6919,0
43.0101,6894,1324,5570,0,0,0,0,0,0.0476235,0.0479111,0.0473318,0.0476455,2,1,0,1,64,6890,6894,6894,6894,6894,6894,6894,6894,6894,6894,6894,6894,0
44.0103,6894,1349,5545,0,0,0,0,0,0.0480853,0.0483103,0.0479743,0.0479715,2,1,0,1,64,6891,6894,6894,6894,6894,6894,6894,6894,6894,6894,6894,6894,0
45.0106,6928,1413,5515,0,0,0,0,0,0.0476508,0.0474193,0.0477669,0.0477659,1,0,0,1,64,6925,6928,6928,6928,6928,6928,6928,6928,6928,6928,6928,6928,0
46.0108,6884,1395,5489,0,0,0,0,0,0.0501558,0.0497742,0.0505321,0.0501691,1,0,0,1,64,6868,6880,6884,6884,6884,6884,6884,6884,6884,6884,6884,6884,0
47.0113,6923,1420,5503,0,0,0,0,0,0.0481344,0.0482573,0.0475959,0.0485452,4,2,1,1,64,6916,6922,6923,6923,6923,6923,6923,6923,6923,6923,6923,6923,0
48.0114,6875,1516,5359,0,0,0,0,1,0.0475968,0.0472475,0.0475441,0.0480063,3,2,1,0,64,6875,6875,6875,6875,6875,6875,6875,6875,6875,6875,6875,6875,0
49.0116,6732,1401,5331,0,0,0,0,0,0.0493494,0.0477968,0.0497199,0.050474,4,1,1,1,64,6713,6729,6732,6732,6732,6732,6732,6732,6732,6732,6732,6732,0
50.0121,6917,1536,5381,0,0,0,0,1,0.0479129,0.0471142,0.0479314,0.0486859,3,0,2,1,64,6894,6913,6917,6917,6917,6917,6917,6917,6917,6917,6917,6917,0
51.0124,6927,1540,5387,0,0,0,0,0,0.0475676,0.0471036,0.0482537,0.0473289,2,0,1,1,64,6913,6925,6927,6927,6927,6927,6927,6927,6927,6927,6927,6927,0
52.0127,463,106,357,0,0,0,0,48,0.0498775,0.0479885,0.0504563,0.051105,16,0,0,16,64,463,463,463,463,463,463,463,463,463,463,463,463,0
53.013,0,0,0,0,0,0,0,48,0,0,0,0,16,0,0,16,64,0,0,0,0,0,0,0,0,0,0,0,0,0
54.0132,0,0,0,0,0,0,0,48,0,0,0,0,16,0,0,16,64,0,0,0,0,0,0,0,0,0,0,0,0,0
55.0135,0,0,0,0,0,0,0,48,0,0,0,0,16,0,0,16,64,0,0,0,0,0,0,0,0,0,0,0,0,0
56.0138,0,0,0,0,0,0,0,48,0,0,0,0,16,0,0,16,64,0,0,0,0,0,0,0,0,0,0,0,0,0
57.014,0,0,0,0,0,0,0,112,0,0,0,0,16,0,0,16,64,0,0,0,0,0,0,0,0,0,0,0,0,0
58.0144,0,0,0,0,0,0,0,112,0,0,0,0,16,0,0,16,64,0,0,0,0,0,0,0,0,0,0,0,0,0
59.0146,0,0,0,0,0,0,0,112,0,0,0,0,16,0,0,16,64,0,0,0,0,0,0,0,0,0,0,0,0,0
60.0149,0,0,0,0,0,0,0,112,0,0,0,0,16,0,0,16,64,0,0,0,0,0,0,0,0,0,0,0,0,0
61.0152,0,0,0,0,0,0,0,112,0,0,0,0,16,0,0,16,64,0,0,0,0,0,0,0,0,0,0,0,0,0
62.0154,0,0,0,0,0,0,0,176,0,0,0,0,16,0,0,16,64,0,0,0,0,0,0,0,0,0,0,0,0,0
63.0157,0,0,0,0,0,0,0,176,0,0,0,0,16,0,0,16,64,0,0,0,0,0,0,0,0,0,0,0,0,0
64.0159,0,0,0,0,0,0,0,176,0,0,0,0,16,0,0,16,64,0,0,0,0,0,0,0,0,0,0,0,0,0
65.0162,0,0,0,0,0,0,0,176,0,0,0,0,16,0,0,16,64,0,0,0,0,0,0,0,0,0,0,0,0,0
